BAD;LOAN;MORTDUE;VALUE;REASON;JOB;YOJ;DEROG;DELINQ;CLAGE;NINQ;CLNO;DEBTINC;P_BAD1;P_BAD0
1;1100;4613.1563229;39025;HomeImp;Other;2.3216972048;0;0;94.366666667;1;9;;0.1061499579;0.8938500421
1;162.06479066;54374.03044;68400;HomeImp;Other;7;0;2;121.83333333;0;14;;0.1061499579;0.8938500421
1;1500;13500;16700;HomeImp;Other;4;0;0;149.46666667;1;10;;0.1061499579;0.8938500421
1;1500;;;;;;;;;;;;0.1061499579;0.8938500421
0;1700;97800;68863.68371;HomeImp;Office;3;0;0;93.333333333;0;14;;0.1061499579;0.8938500421
0;1700;16473.682987;21297.893542;HomeImp;Other;9;0;0;101.46600191;1;8;37.113613558;0.1377890311;0.8622109689
1;1047.0006541;48649;57037;HomeImp;Other;3.7555630779;3;2;77.1;1;17;;0.1061499579;0.8938500421
1;1800;28502;29149.344452;HomeImp;Other;11;0;0;88.766029879;0;8;36.884894093;0.1198220953;0.8801779047
1;2000;32700;46740;HomeImp;Other;2.3366121665;0;2;216.93333333;1;12;;0.1061499579;0.8938500421
1;2000;;4491.1437733;HomeImp;Sales;3.7429308387;0;0;115.8;0;13;;0.1061499579;0.8938500421
1;2000;19378.397699;;;;18;;;;;;;0.1061499579;0.8938500421
0;2000;12940.385392;29800;HomeImp;Office;11;0;1;122.53333333;1;9;;0.1061499579;0.8938500421
0;2000;8993.7551594;12285.336087;HomeImp;Other;3;0;0;86.066666667;2;25;;0.1061499579;0.8938500421
0;45.805413297;64536;87400;;Mgr;0.8562451326;0;0;147.13333333;0;24;;0.1061499579;0.8938500421
1;1581.4960782;71000;83850;HomeImp;Other;2.3090927425;0;1;123;0;16;;0.1061499579;0.8938500421
1;2200;24280;21203.204433;HomeImp;Other;;0;1;300.86666667;0;8;;0.1061499579;0.8938500421
1;2200;90957;102600;HomeImp;Mgr;7;2;6;122.9;1;22;;0.1061499579;0.8938500421
1;1844.4364487;191.05116041;;;;19;;;;;;3.7113122995;0.1061499579;0.8938500421
1;2300;28192;3326.2140228;HomeImp;Other;0.5793729201;0;0;54.6;1;16;;0.1061499579;0.8938500421
0;2300;102370;120953;HomeImp;Office;2;0;0;90.992533467;0;13;31.588503178;0.0650081933;0.9349918067
1;2300;37626;10766.263218;HomeImp;Other;3;0;1;122.26666667;1;14;;0.1061499579;0.8938500421
1;2400;50000;73395;HomeImp;ProfExe;1.9503899859;1;0;;1;0;;0.1061499579;0.8938500421
1;1559.2303987;28000;40800;HomeImp;Mgr;9.5563326895;0;0;67.2;2;22;;0.1061499579;0.8938500421
0;2400;7768.0722828;;HomeImp;Mgr;10.121611809;;2;121.73333333;0;10;;0.1061499579;0.8938500421
1;2400;;17180;HomeImp;Other;;0;0;14.566666667;3;4;;0.1061499579;0.8938500421
1;2400;34863;47471;HomeImp;Mgr;12;0;0;70.491080032;1;21;38.263600731;0.1144694683;0.8855305317
0;1995.3583168;43146.057525;117195;HomeImp;Office;3.8431846219;0;0;93.811774855;0;13;29.681827045;0.073054925;0.926945075
0;2500;15000;20200;HomeImp;;18;0;0;136.06666667;1;19;;0.1061499579;0.8938500421
1;2500;25116;23585.591397;HomeImp;Other;10;1;2;276.96666667;0;9;;0.1061499579;0.8938500421
0;2500;6377.7671713;44516;HomeImp;Self;;0;0;208;0;12;;0.1061499579;0.8938500421
0;547.52550463;71408;23159.00798;HomeImp;ProfExe;8;0;0;255.73333333;0;12;;0.1061499579;0.8938500421
1;2800;50795;63100;HomeImp;Self;26;2;15;145.63333333;3;45;;0.1061499579;0.8938500421
0;2800;4000;43832.33069;HomeImp;Other;15.977682449;4;0;112.63333333;2;9;;0.1061499579;0.8938500421
1;2900;78600;113000;DebtCon;ProfExe;6;1;0;165.33333333;2;26;;0.1061499579;0.8938500421
0;2218.0873421;103949;112505;HomeImp;Office;0.4774160769;0;0;96.10232967;0;13;30.051136286;0.0565551256;0.9434448744
0;2900;97134.775168;120702;HomeImp;Office;1.5734184094;0;0;101.54029753;0;13;29.915859028;0.0579432693;0.9420567307
1;2900;7750;67996;HomeImp;Other;7.7118100485;3;0;122.20466276;2;8;36.211347998;0.4263052602;0.5736947398
1;2900;54985.594831;54709.686088;DebtCon;Mgr;1.1143074199;0;0;282.80165924;3;37;49.20639579;0.1379051508;0.8620948492
0;3000;104570;54856.001359;HomeImp;Office;0.6089515829;0;0;85.884371895;0;14;32.059783267;0.0555005163;0.9444994837
1;3000;7000;20300;HomeImp;Other;3;0;0;50.8;5;9;;0.1061499579;0.8938500421
1;1291.336409;;7131.4311612;HomeImp;Other;2;0;1;77.766666667;0;3;;0.1061499579;0.8938500421
1;2367.5906371;;33000;HomeImp;Other;1;0;1;23.3;1;2;;0.1061499579;0.8938500421
1;3000;119826;157559.32988;HomeImp;Other;3.5785337666;0;0;130.03335846;0;27;;0.1061499579;0.8938500421
0;3000;20000;29750;DebtCon;Other;2;0;0;187.06666667;0;12;;0.1061499579;0.8938500421
1;3000;;14500;HomeImp;Other;1.5494905848;0;0;9.3;14;2;;0.1061499579;0.8938500421
1;3000;;14100;HomeImp;Other;1;0;0;104.2;0;19;;0.1061499579;0.8938500421
1;3000;47000;82700;HomeImp;ProfExe;10;0;1;262.16666667;5;26;;0.1061499579;0.8938500421
1;884.31391068;34542;45900;HomeImp;Mgr;8.5;0;2;62.366666667;0;10;;0.1061499579;0.8938500421
0;3000;58000;12118.095598;HomeImp;Mgr;10;;2;211.93333333;0;25;;0.1061499579;0.8938500421
0;727.43289393;47000;24714.622712;HomeImp;Office;6.1893848177;0;0;201.86666667;0;20;;0.1061499579;0.8938500421
1;2619.6710755;10893.590222;36100;HomeImp;Other;0.4637394284;0;0;153.16666667;1;14;;0.1061499579;0.8938500421
0;3100;;53926.518522;;;;;;;;;;0.1061499579;0.8938500421
0;522.69983018;64550.026695;74566;HomeImp;Mgr;10;;1;206.42660206;0;25;40.115677278;0.1061499579;0.8938500421
1;3200;48603;61000;HomeImp;ProfExe;28;0;4;122.03333333;1;25;;0.1061499579;0.8938500421
1;2631.8835241;27200;40834;HomeImp;Other;;0;0;298.13156403;0;7;35.553538789;0.1061499579;0.8938500421
1;3200;54000;64850;HomeImp;Other;0.6542266121;0;0;121.86666667;3;21;;0.1061499579;0.8938500421
0;3200;74864;87266;HomeImp;ProfExe;3.8037100904;0;0;250.63126922;0;12;42.909997351;0.098525789;0.901474211
1;3200;23159;;HomeImp;Mgr;20;;2;117.80574784;0;9;0.5244992154;0.1061499579;0.8938500421
1;2099.2611714;126541;107616.57002;HomeImp;Sales;9;1;0;139;0;36;;0.1061499579;0.8938500421
0;3300;130518;108927.8097;DebtCon;Other;9;0;6;192.28914897;0;33;35.73055919;0.5773471971;0.4226528029
1;3400;37000;52000;HomeImp;Office;2;0;1;183.29991561;0;6;;0.1061499579;0.8938500421
1;3500;7645.0062761;38666;HomeImp;Other;2.8168618296;0;0;162.36666667;0;14;;0.1061499579;0.8938500421
1;3500;19400;20494;HomeImp;Other;5;0;0;95.933333333;0;9;;0.1061499579;0.8938500421
1;1942.9871302;39990.795001;61800;HomeImp;ProfExe;10;;;;;;;0.1061499579;0.8938500421
1;3600;35993.341951;10719.900362;HomeImp;Mgr;3;0;0;72.033333333;2;4;;0.1061499579;0.8938500421
0;3600;15196.969867;111800;HomeImp;ProfExe;6;0;0;192.73333333;1;28;;0.1061499579;0.8938500421
0;3600;61327;40927.941705;HomeImp;Mgr;9;;2;202.51077515;0;25;41.516389699;0.1061499579;0.8938500421
0;2330.681497;86847.230458;114743;HomeImp;Office;6;0;0;88.470452135;0;14;29.393543382;0.0575207371;0.9424792629
1;1773.4973517;39763.551074;61000;DebtCon;Office;13;1;4;97.4;0;17;;0.1061499579;0.8938500421
0;3600;52337;63989;HomeImp;Office;20;0;0;204.27249884;0;20;20.470915508;0.0199302168;0.9800697832
1;3700;17857;21144;HomeImp;Other;2.4048077815;0;0;129.71732313;1;9;26.634347518;0.0660608451;0.9339391549
1;383.79449089;19135;97692;HomeImp;Mgr;1.0416089808;1;6;252.63333333;1;25;;0.1061499579;0.8938500421
0;3467.1968083;51180;63459;HomeImp;Office;20;0;0;203.75153358;0;20;20.067042051;0.0194805718;0.9805194282
0;434.65345531;;73189;;;;;;;;;22.253949156;0.1061499579;0.8938500421
0;3800;11543;33051.141828;HomeImp;Self;;0;0;204.64799167;0;11;42.173165882;0.1061499579;0.8938500421
1;2553.6985829;29896;45960;HomeImp;Other;11;0;0;146.12324219;0;14;24.478881191;0.0441940968;0.9558059032
1;3900;14500;6052.1195399;HomeImp;Other;3.5;0;1;150.3;5;8;;0.1061499579;0.8938500421
0;3432.8311497;52825;10561.112954;DebtCon;ProfExe;8;0;4;171.66666667;1;31;;0.1061499579;0.8938500421
0;1321.5907218;99660.574012;99825.598305;HomeImp;Office;1.1997434558;0;0;85.277365579;0;13;29.343921089;0.054391776;0.945608224
0;3576.4215024;21200;20624.258238;DebtCon;Mgr;4;0;1;86.566666667;2;14;;0.1061499579;0.8938500421
1;4000;95073.27091;36726.533897;HomeImp;Office;0.5027310748;0;0;94.724874167;0;13;29.390928055;0.0453249817;0.9546750183
0;1864.076835;54543;61777;HomeImp;Office;20.103348432;0;0;205.58668003;0;19;21.806563464;0.0217875201;0.9782124799
0;4000;;52347.78105;HomeImp;Other;1.5;0;2;126.53333333;3;12;;0.1061499579;0.8938500421
