BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,P_BAD1,P_BAD0,EM_PROBABILITY,EM_PROBABILITY
1,1100,25860,39025,HomeImp,Other,10.5,0,0,94.36666667,1,9,,0.106149958,0.893850042,0.893850042,0
1,1300,70053,68400,HomeImp,Other,7,0,2,121.8333333,0,14,,0.106149958,0.893850042,0.893850042,0
1,1500,13500,16700,HomeImp,Other,4,0,0,149.4666667,1,10,,0.106149958,0.893850042,0.893850042,0
1,1500,,,,,,,,,,,,0.106149958,0.893850042,0.893850042,0
0,1700,97800,112000,HomeImp,Office,3,0,0,93.33333333,0,14,,0.106149958,0.893850042,0.893850042,0
1,1700,18782.56973,40320,HomeImp,Other,9,0,0,101.4660019,1,8,37.11361356,0.143348649,0.856651351,0.856651351,0
1,1800,48649,57037,HomeImp,Other,5,3,2,77.1,1,17,,0.106149958,0.893850042,0.893850042,0
1,195.8194813,28502,43034,HomeImp,Other,11,0,0,88.76602988,0,8,36.88489409,0.124727572,0.875272428,0.875272428,0
1,2000,32700,46740,HomeImp,Other,3,0,2,216.9333333,1,12,,0.106149958,0.893850042,0.893850042,0
1,2000,,62250,HomeImp,Sales,16,0,0,115.8,0,13,,0.106149958,0.893850042,0.893850042,0
1,2000,22608,,,,18,,,,,,,0.106149958,0.893850042,0.893850042,0
1,2000,1488.173857,29800,HomeImp,Office,11,0,1,122.5333333,1,9,,0.106149958,0.893850042,0.893850042,0
1,2000,45000,55000,HomeImp,Other,3,0,0,86.06666667,2,25,,0.106149958,0.893850042,0.893850042,0
0,2000,64536,54830.54653,,Mgr,2.5,0,0,147.1333333,0,24,,0.106149958,0.893850042,0.893850042,0
1,1063.62966,71000,83850,HomeImp,Other,8,0,1,123,0,16,,0.106149958,0.893850042,0.893850042,0
0,2200,5805.743075,29293.94158,HomeImp,Other,,0,1,300.8666667,0,8,,0.106149958,0.893850042,0.893850042,0
1,2200,90957,102600,HomeImp,Mgr,7,2,6,122.9,1,22,,0.106149958,0.893850042,0.893850042,0
1,2200,23030,,,,19,,,,,,3.7113123,0.106149958,0.893850042,0.893850042,0
1,2300,28192,40150,HomeImp,Other,4.5,0,0,54.6,1,16,,0.106149958,0.893850042,0.893850042,0
0,2300,102370,120953,HomeImp,Office,2,0,0,90.99253347,0,13,31.58850318,0.065008193,0.934991807,0.934991807,0
1,2300,37626,46200,HomeImp,Other,1.550151369,0,1,122.2666667,1,14,,0.106149958,0.893850042,0.893850042,0
1,2400,50000,73395,HomeImp,ProfExe,5,1,0,,1,0,,0.106149958,0.893850042,0.893850042,0
1,2400,28000,40800,HomeImp,Mgr,12,0,0,67.2,2,22,,0.106149958,0.893850042,0.893850042,0
1,2400,18000,,HomeImp,Mgr,22,,2,121.7333333,0,10,,0.106149958,0.893850042,0.893850042,0
1,2400,,17180,HomeImp,Other,,0,0,14.56666667,3,4,,0.106149958,0.893850042,0.893850042,0
1,2400,34863,47471,HomeImp,Mgr,12,0,0,70.49108003,1,21,38.26360073,0.114469468,0.885530532,0.885530532,0
0,2400,98449,117195,HomeImp,Office,4,0,0,93.81177486,0,13,29.68182705,0.05649867,0.94350133,0.94350133,0
1,2500,15000,20200,HomeImp,,18,0,0,136.0666667,1,19,,0.106149958,0.893850042,0.893850042,0
1,2500,11555.2001,26045.98359,HomeImp,Other,10,1,2,276.9666667,0,9,,0.106149958,0.893850042,0.893850042,0
0,2500,7229,44516,HomeImp,Self,,0,0,208,0,12,,0.106149958,0.893850042,0.893850042,0
0,2500,71408,78600,HomeImp,ProfExe,8,0,0,255.7333333,0,12,,0.106149958,0.893850042,0.893850042,0
1,2800,50795,60626.23741,HomeImp,Self,26,2,15,145.6333333,3,45,,0.106149958,0.893850042,0.893850042,0
1,2800,4000,60850,HomeImp,Other,7.352487381,4,0,112.6333333,2,9,,0.106149958,0.893850042,0.893850042,0
1,2900,78600,113000,DebtCon,ProfExe,6,1,0,165.3333333,2,26,,0.106149958,0.893850042,0.893850042,0
0,2900,103949,112505,HomeImp,Office,1,0,0,96.10232967,0,13,30.05113629,0.056299572,0.943700429,0.943700429,0
0,2900,104373,120702,HomeImp,Office,0.589287735,0,0,101.5402975,0,13,29.91585903,0.056342664,0.943657337,0.943657337,0
1,2900,7750,67996,HomeImp,Other,16,3,0,122.2046628,2,8,36.211348,0.414010231,0.585989769,0.585989769,0
1,2900,61962,70915,DebtCon,Mgr,1.440668223,0,0,282.8016592,3,37,49.20639579,0.139399563,0.860600438,0.860600438,0
0,3000,61713.32205,121729,HomeImp,Office,2,0,0,85.8843719,0,14,32.05978327,0.080950525,0.919049475,0.919049475,0
1,3000,7000,20300,HomeImp,Other,3,0,0,50.8,5,9,,0.106149958,0.893850042,0.893850042,0
1,3000,,8800,HomeImp,Other,2,0,1,77.76666667,0,3,,0.106149958,0.893850042,0.893850042,0
1,3000,,33000,HomeImp,Other,1,0,1,23.3,1,2,,0.106149958,0.893850042,0.893850042,0
1,3000,119826,193500,HomeImp,Other,8,0,0,130.0333585,0,27,,0.106149958,0.893850042,0.893850042,0
0,3000,20000,29750,DebtCon,Other,2,0,0,187.0666667,0,12,,0.106149958,0.893850042,0.893850042,0
1,3000,,14500,HomeImp,Other,3,0,0,9.3,14,2,,0.106149958,0.893850042,0.893850042,0
1,3000,,14100,HomeImp,Other,0.304475791,0,0,104.2,0,19,,0.106149958,0.893850042,0.893850042,0
1,3000,47000,82700,HomeImp,ProfExe,10,0,1,262.1666667,5,26,,0.106149958,0.893850042,0.893850042,0
1,3000,34542,45900,HomeImp,Mgr,8.5,0,2,62.36666667,0,10,,0.106149958,0.893850042,0.893850042,0
0,3000,58000,71500,HomeImp,Mgr,10,,2,211.9333333,0,25,,0.106149958,0.893850042,0.893850042,0
0,3000,47000,56400,HomeImp,Office,21,0,0,201.8666667,0,20,,0.106149958,0.893850042,0.893850042,0
1,3100,39589,36100,HomeImp,Other,1.5,0,0,153.1666667,1,14,,0.106149958,0.893850042,0.893850042,0
0,3100,,70400,,,,,,,,,,0.106149958,0.893850042,0.893850042,0
0,2768.231881,67848,74566,HomeImp,Mgr,10,,1,206.4266021,0,25,40.11567728,0.106149958,0.893850042,0.893850042,0
1,3200,48603,61000,HomeImp,ProfExe,28,0,4,122.0333333,1,25,,0.106149958,0.893850042,0.893850042,0
