BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
0,8400,85136.0,125912.0,HomeImp,Other,9.0,,,,,,40.7151780408226
0,27700,77886.0,114494.0,DebtCon,ProfExe,9.0,0.0,0.0,118.471353785231,0.0,18.0,28.3440783908004
0,22900,28217.0,52804.0,DebtCon,Other,14.0,0.0,0.0,109.365684574231,1.0,25.0,30.5877281638923
0,13600,41000.0,73440.0,DebtCon,Mgr,4.0,0.0,0.0,125.766666666667,1.0,9.0,
0,25000,,60685.0,DebtCon,Other,,0.0,0.0,311.935889469825,0.0,19.0,39.4217139025041
1,41600,,44157.0,DebtCon,Other,,0.0,2.0,202.15154594564999,0.0,15.0,34.9086317228287
0,9100,59430.0,76897.0,HomeImp,Other,5.0,0.0,1.0,246.095109105895,1.0,16.0,37.4709233761537
0,43700,5137.0,67256.0,HomeImp,Office,,0.0,0.0,306.995371087895,0.0,18.0,16.6786764129012
1,25000,74800.0,105000.0,DebtCon,Mgr,10.0,0.0,5.0,163.3,2.0,46.0,
1,12100,29097.0,72647.0,DebtCon,Other,8.0,,,109.514879446025,1.0,22.0,45.3047605686983
0,52300,,84584.0,HomeImp,Other,,1.0,0.0,350.920996278093,0.0,7.0,24.3553042461236
0,60000,122729.0,207797.0,DebtCon,ProfExe,9.0,0.0,0.0,313.33439671118697,2.0,27.0,35.028577921166395
0,24200,63229.0,89394.0,DebtCon,Other,15.0,0.0,0.0,84.66879154892591,0.0,16.0,35.6048867060826
1,21400,104657.0,147364.0,DebtCon,Other,7.0,2.0,0.0,149.25448005071001,2.0,20.0,46.305072149166406
0,13600,64799.0,84425.0,DebtCon,Office,14.0,0.0,0.0,115.32388361145901,0.0,24.0,36.8508574795727
0,7800,45391.0,61743.0,DebtCon,Other,12.0,0.0,0.0,105.087593835607,0.0,22.0,36.70541274003
0,25000,94000.0,125000.0,DebtCon,Office,11.0,0.0,1.0,151.13333333333298,0.0,29.0,
0,10200,,64377.0,HomeImp,Other,,0.0,0.0,347.245013108506,0.0,6.0,37.7746815587276
0,20800,107787.0,182140.0,DebtCon,Office,7.0,0.0,0.0,214.33056821215598,3.0,23.0,41.9284694940078
1,11700,51600.0,72399.0,HomeImp,Other,15.0,0.0,1.0,125.36336996337,4.0,20.0,
0,23500,55731.0,89079.0,DebtCon,Mgr,4.0,0.0,0.0,273.674379891915,1.0,25.0,33.5094090376512
0,9900,73804.0,97413.0,DebtCon,ProfExe,5.0,0.0,0.0,107.33302453506901,0.0,25.0,33.5248795988387
0,12100,46152.0,72773.0,DebtCon,Other,0.0,0.0,0.0,270.489980055051,0.0,20.0,29.495115994268602
0,13600,66754.0,80156.0,DebtCon,Other,5.0,0.0,0.0,238.62182003733201,3.0,26.0,31.552706968790304
1,11000,53700.0,68000.0,DebtCon,Mgr,6.0,0.0,0.0,101.5,0.0,13.0,
1,7000,38800.0,53500.0,HomeImp,ProfExe,15.0,0.0,0.0,96.3666666666667,0.0,18.0,
0,11100,50350.0,58837.0,DebtCon,Other,6.0,0.0,0.0,80.8432168179208,0.0,10.0,28.7931662708536
