BAD,LOAN,MORTDUE,VALUE,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
1,1100.0,4613.156322999999,39025.0,2.321697205,0.0,0.0,94.36666667,1.0,9.0,
1,162.0647907,54374.030439999995,68400.0,7.0,0.0,2.0,121.83333329999999,0.0,14.0,
1,1500.0,13500.0,16700.0,4.0,0.0,0.0,149.4666667,1.0,10.0,
1,1500.0,,,,,,,,,
0,1700.0,97800.0,68863.68371,3.0,0.0,0.0,93.33333333,0.0,14.0,
0,1700.0,16473.68299,21297.89354,9.0,0.0,0.0,101.46600190000001,1.0,8.0,37.11361356
1,1047.000654,48649.0,57037.0,3.755563078,3.0,2.0,77.1,1.0,17.0,
1,1800.0,28502.0,29149.34445,11.0,0.0,0.0,88.76602988,0.0,8.0,36.88489409
1,2000.0,32700.0,46740.0,2.3366121669999997,0.0,2.0,216.93333330000002,1.0,12.0,
1,2000.0,,4491.143773,3.7429308389999996,0.0,0.0,115.8,0.0,13.0,
1,2000.0,19378.3977,,18.0,,,,,,
0,2000.0,12940.385390000001,29800.0,11.0,0.0,1.0,122.53333329999998,1.0,9.0,
0,2000.0,8993.755159,12285.33609,3.0,0.0,0.0,86.06666667,2.0,25.0,
0,45.8054133,64536.0,87400.0,0.8562451329999999,0.0,0.0,147.1333333,0.0,24.0,
1,1581.496078,71000.0,83850.0,2.3090927430000003,0.0,1.0,123.0,0.0,16.0,
1,2200.0,24280.0,21203.20443,,0.0,1.0,300.8666667,0.0,8.0,
1,2200.0,90957.0,102600.0,7.0,2.0,6.0,122.9,1.0,22.0,
1,1844.4364489999998,191.05116040000001,,19.0,,,,,,3.7113123
1,2300.0,28192.0,3326.214023,0.57937292,0.0,0.0,54.6,1.0,16.0,
0,2300.0,102370.0,120953.0,2.0,0.0,0.0,90.99253347,0.0,13.0,31.58850318
1,2300.0,37626.0,10766.26322,3.0,0.0,1.0,122.26666670000002,1.0,14.0,
1,2400.0,50000.0,73395.0,1.950389986,1.0,0.0,,1.0,0.0,
1,1559.230399,28000.0,40800.0,9.55633269,0.0,0.0,67.2,2.0,22.0,
0,2400.0,7768.0722829999995,,10.12161181,,2.0,121.73333329999998,0.0,10.0,
1,2400.0,,17180.0,,0.0,0.0,14.56666667,3.0,4.0,
1,2400.0,34863.0,47471.0,12.0,0.0,0.0,70.49108003,1.0,21.0,38.26360073
0,1995.3583170000002,43146.05753,117195.0,3.843184622,0.0,0.0,93.81177486,0.0,13.0,29.68182705
0,2500.0,15000.0,20200.0,18.0,0.0,0.0,136.06666669999998,1.0,19.0,
1,2500.0,25116.0,23585.5914,10.0,1.0,2.0,276.96666669999996,0.0,9.0,
0,2500.0,6377.767171,44516.0,,0.0,0.0,208.0,0.0,12.0,
0,547.5255046,71408.0,23159.007980000002,8.0,0.0,0.0,255.7333333,0.0,12.0,
1,2800.0,50795.0,63100.0,26.0,2.0,15.0,145.6333333,3.0,45.0,
0,2800.0,4000.0,43832.330689999995,15.97768245,4.0,0.0,112.63333329999999,2.0,9.0,
1,2900.0,78600.0,113000.0,6.0,1.0,0.0,165.33333330000002,2.0,26.0,
0,2218.0873420000003,103949.0,112505.0,0.47741607700000005,0.0,0.0,96.10232967,0.0,13.0,30.05113629
0,2900.0,97134.77517000001,120702.0,1.573418409,0.0,0.0,101.5402975,0.0,13.0,29.91585903
