BAD,LOAN,MORTDUE,VALUE,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,REASON,JOB
0.0,26800.0,46236.0,62711.0,17.0,0.0,0.0,175.07505804240606,1.0,22.0,33.059933638400366,DebtCon,Office 
0.0,26800.0,35485.0,74949.0,14.0,0.0,0.0,84.76662481229782,5.0,15.0,36.191458547344176,DebtCon,Mgr    
0.0,26800.0,145745.0,211400.0,6.0,0.0,0.0,184.71163469212908,1.0,27.0,39.84839123204741,HomeImp,ProfExe
0.0,16312.272480461874,10846.335587246034,282068.0,5.0,,4.0,476.7282809538913,,55.0,31.181661193422816,HomeImp,ProfExe
1.0,26800.0,138216.0,170052.0,10.0,0.0,0.0,199.73871137582472,1.0,29.0,76.42147804680349,DebtCon,ProfExe
1.0,26800.0,18459.0,53907.0,0.0,0.0,0.0,200.41702707755132,0.0,6.0,71.51211056691227,DebtCon,Other  
0.0,26900.0,74982.0,126972.0,0.0,0.0,0.0,315.8189112375351,0.0,23.0,38.32598984899278,DebtCon,Office 
0.0,21707.759551660976,,35397.0,7.0,0.0,,85.2508407218107,,13.0,20.837255467771204,DebtCon,Other  
0.0,26900.0,69446.0,104590.0,2.5224740842927593,0.0,0.0,287.27599243200143,1.0,32.0,41.49906042666596,DebtCon,ProfExe
0.0,26900.0,57414.0,71802.448926612,0.0,0.0,0.0,70.28190570907931,0.0,22.0,34.396301780904786,DebtCon,Office 
0.0,26900.0,62098.58267392339,145440.0,4.0,,,294.7001920535856,2.0,36.0,43.90864533313022,DebtCon,Office 
1.0,26900.0,69000.0,106500.0,0.6,0.0,1.0,115.7,2.0,19.0,,DebtCon,Sales  
0.0,26900.0,67144.0,66861.7453058766,6.789758342685997,0.0,0.0,89.11217348507545,1.0,17.0,32.79147803196287,DebtCon,Other  
0.0,26900.0,47882.0,78854.0,11.0,0.0,0.0,132.34739208636825,0.0,19.0,41.130706683872596,DebtCon,Other  
0.0,26900.0,98324.0,129210.0,0.0,1.0,0.0,185.2058111345457,3.0,38.0,34.65064912631672,DebtCon,ProfExe
0.0,26900.0,54071.0,85557.0,0.0,0.0,2.0,91.2099762279229,0.0,22.0,34.59719190297983,DebtCon,Office 
1.0,26900.0,113724.0,151969.0,4.0,,,294.89276271668416,1.0,36.0,42.39724898581265,DebtCon,Office 
0.0,26900.0,72848.0,101736.0,10.0,0.0,0.0,131.4096343021041,0.0,21.0,36.36902746182355,DebtCon,Office 
0.0,26900.0,45763.0,73797.0,12.7103640067905,,0.0,291.59168151922955,1.0,29.0,39.37085815452545,DebtCon,Other  
0.0,26900.0,215692.0,286555.0,8.0,,5.0,468.1781223951171,,55.0,30.553005420473873,HomeImp,ProfExe
1.0,9968.059910912094,79218.0,115721.0,9.0,0.0,0.0,280.3437201011659,0.0,35.0,33.227763076577226,DebtCon,Other  
0.0,5742.358302111904,77910.0,117590.0,4.0,0.0,0.0,91.87421109737495,2.0,31.0,38.49715497684532,DebtCon,Other  
0.0,27000.0,50375.0,70656.0,4.979020132207787,0.0,0.0,125.71604136932737,1.0,20.0,43.13384489542984,DebtCon,Other  
0.0,27000.0,13718.0,35684.0,16.0,2.0,0.0,122.29444676844133,1.0,18.0,24.35575958292734,DebtCon,Other  
0.0,27000.0,144901.0,178093.0,7.0,0.0,0.0,331.1139720953779,0.0,34.0,40.56655189846947,DebtCon,ProfExe
1.0,27000.0,45482.0,77000.0,0.8,0.0,0.0,164.3,3.0,19.0,,DebtCon,Office 
1.0,27000.0,124000.0,162000.0,0.8,0.0,2.0,166.36666666666667,1.0,34.0,,DebtCon,Other  
0.0,27000.0,54515.0,82539.0,20.0,0.0,0.0,203.86139890121436,0.0,26.0,37.112352280385025,DebtCon,Other  
0.0,27000.0,10140.09044927549,82425.0,21.0,0.0,0.0,212.64422077441677,0.0,27.0,36.99779360407395,DebtCon,Other  
0.0,27000.0,54834.0,85391.0,9.0,0.0,1.0,132.578544585993,2.0,30.0,39.30573911696474,DebtCon,Other  
0.0,27000.0,,38441.0,2.5099050675099273,1.0,,85.17950334795438,,14.0,23.69117601266651,DebtCon,Other  
0.0,27000.0,41180.1479975703,86091.0,24.0,0.0,2.0,200.14145359086348,1.0,20.0,26.248756632403822,DebtCon,Other  
0.0,27000.0,23160.0,58074.0,36.0,0.0,0.0,275.84323073882865,1.0,24.0,40.133220411982954,DebtCon,Other  
0.0,27000.0,,38994.34535271597,26.0,0.0,0.0,133.0997369305368,0.0,8.0,22.718652620119347,DebtCon,Other  
0.0,27000.0,,38356.0,8.0,0.0,,87.47422305930918,,13.0,20.927415373887595,DebtCon,Other  
1.0,27100.0,36393.473304881474,101000.0,8.0,1.0,1.0,128.8,0.0,22.0,,DebtCon,Other  
0.0,2554.44327967914,24332.044204078637,237302.0,24.96193057436586,0.0,0.0,349.5142676296133,2.0,18.0,37.420847161296216,HomeImp,ProfExe
0.0,27100.0,44095.0,77587.0,14.0,1.0,0.0,92.14002901503598,6.0,15.0,33.53554720107259,DebtCon,Mgr    
0.0,27100.0,24494.0,61659.691535913706,,1.0,1.0,101.31291670467947,1.0,26.0,31.124553855776114,DebtCon,Other  
0.0,27100.0,,31681.0,23.0,0.0,0.0,92.51403036246752,2.0,15.0,29.741908938098657,HomeImp,Other  
0.0,27100.0,33649.0,59753.12341831677,2.0,0.0,0.0,113.03673652248843,2.0,6.0,37.83786387387098,,Office 
0.0,27100.0,20479.0,46735.0,24.0,0.0,0.0,103.8162897300125,0.0,10.0,24.258677221359072,DebtCon,Other  
0.0,27100.0,118200.0,47685.40980977305,6.0,0.0,1.0,117.15216053656049,3.0,27.0,34.20600844529272,DebtCon,ProfExe
0.0,27100.0,17114.01834993205,74244.0,,1.0,2.0,93.06034261793691,1.0,25.0,27.361339811613476,DebtCon,Other  
0.0,27200.0,70730.0,93752.0,8.0,0.0,0.0,165.91933287326063,0.0,20.0,36.17090548562393,DebtCon,Office 
0.0,27200.0,145725.0,179197.0,1.0,0.0,0.0,183.37628835620797,0.0,34.0,40.287479924567734,DebtCon,Other  
0.0,27200.0,83894.0,121302.0,6.0,0.0,1.0,124.27469650422182,0.0,18.0,29.732489311724194,DebtCon,ProfExe
0.0,27200.0,110470.0,180982.0,17.0,0.0,0.0,295.4714492210882,1.0,30.0,34.766949695985275,DebtCon,Sales  
0.0,3769.4378378658735,61000.0,34952.89623277118,16.0,0.0,1.0,141.98123447893545,0.0,30.0,39.546507583254254,DebtCon,Other  
0.0,36.311902867775366,86162.81981006396,134864.0,10.0,0.0,1.0,150.59619803108504,0.0,29.0,40.88049466602062,DebtCon,Office 
