LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
1100,4613.156323,39025,HomeImp,Other,2.321697205,0,0,94.36666667,1,9,
162.0647907,54374.03044,66177.01607,HomeImp,Other,4.9975414,0,2,121.8333333,0,14,
1292.016906,11615.73455,16700,HomeImp,Other,4,0,0,149.4666667,1,10,
783.1267807,,,,,,,,,,,
1700,52740.80778,59160.81539,HomeImp,Office,3,0,0,93.33333333,0,14,
988.8339511,30548,5882.730881,HomeImp,Other,9,0,0,101.4660019,1,8,37.11361356
1800,48649,38634.36259,HomeImp,Other,5,3,2,77.1,1,17,
1800,28502,43034,HomeImp,Other,8.567577944,0,0,88.76602988,0,8,36.88489409
2000,32700,3372.145542,HomeImp,Other,0.701799532,0,2,216.9333333,1,12,
2000,,42737.00279,HomeImp,Sales,16,0,0,115.8,0,13,
1254.703582,22608,,,,9.116825655,,,,,,
211.5388933,20616.5021,7125.664894,HomeImp,Office,9.28974421,0,1,122.5333333,1,9,
684.9961061,45000,41420.13538,HomeImp,Other,3,0,0,86.06666667,2,25,
577.2731856,53488.82476,87400,,Mgr,1.528180906,0,0,147.1333333,0,24,
2100,71000,83850,HomeImp,Other,8,0,1,123,0,16,
2200,20355.87135,287.7547374,HomeImp,Other,,0,1,300.8666667,0,8,
1386.566001,7535.303832,13209.70258,HomeImp,Mgr,6.726878687,2,6,122.9,1,22,
2200,23030,,,,19,,,,,,3.7113123
929.9558362,28192,40150,HomeImp,Other,3.013982335,0,0,54.6,1,16,
1056.809542,66507.6733,120953,HomeImp,Office,2,0,0,90.99253347,0,13,31.58850318
2300,23078.65064,19938.05219,HomeImp,Other,0.265977481,0,1,122.2666667,1,14,
1719.679797,50000,73395,HomeImp,ProfExe,5,1,0,,1,0,
1574.086093,11215.63256,40800,HomeImp,Mgr,9.976791584,0,0,67.2,2,22,
986.1488995,17294.3308,,HomeImp,Mgr,22,,2,121.7333333,0,10,
